,C1,C2,C3,C4,C5,C6,C7,C8,C9
PIB,0.13877649591404811,0.6236895456868101,0.6365058104414991,0.7536920696901688,0.7692812694512419,0.8559601055643659,0.9789379106918414,1.0199999999999998,
Chelt_sanatate,0.022088343484285216,0.2638672775879149,0.512723855736087,0.8935450519726814,0.900172307554737,0.9052733143601371,0.9856436878169583,1.0199999999999991,
Somaj_stud_sup,0.03841013196160201,0.1030479306394051,0.559567930067333,0.799921946562025,0.8849752031553744,0.8978940428709999,1.0029921679024874,1.0199999999999998,
Sup,0.22870608255233682,0.3637304819464111,0.738409828263805,0.7617361576413433,0.7669643947308253,0.8714175624452178,0.980927805839097,1.0199999999999998,
Forta_munca,0.313032868557025,0.5776514489562365,0.7557825767891699,0.8144469501681645,0.8894960322548763,0.9238934007948754,0.9240306279772728,1.0199999999999996,
Som_total,0.3901128125736066,0.39807563659225526,0.4002480567235094,0.40365000654110983,0.867779635520928,0.9825844074572508,1.0195083969574628,1.0200000000000002,
R_taxarii,0.049009954760364204,0.435461504378822,0.5107294334866219,0.6332244007045398,0.7720369153121187,0.9544641948130279,1.0182781969409531,1.02,
C_final,0.6783728680036006,0.9034991419357349,0.9615215992343765,0.9821619349968314,0.9975550672780424,1.0136291294527395,1.0189068650891846,1.02,
Ec_brute,0.6783728680244331,0.9034991419652453,0.9615215992680964,0.9821619350402069,0.9975550672969953,1.0136291294615296,1.018906865084737,1.02,
